中文名称,英文名称
香榧子壳浸膏,Torreya grandis shell concrete
橘子油,Mandarin oil (Citrus reticulata Blanco)
除萜橘子油,Mandarin oil, terpeneless
酒花酊,Hops tincture (extract) (Humulus lupulus L.)
酒花浸膏,Hops extract,solid (Humulus lupulus L.)
桉叶油(蓝桉油),Eucalyptus oil (Eucalyptus globulus Labille)
海狸酊,Castoreum tincture (extract) (Castor spp.)
斯里兰卡肉桂皮油,Cinnamon bark oil (Cinnamomum spp.)
斯里兰卡肉桂叶油,Cinnamon leaf oil (Cinnamomum spp.)
桂花净油,Osmanthus fragrans flower absolute
桂花酊,Osmanthus fragrans flower tincture
桂花浸膏,Osmanthus fragrans flower concrete
桂圆酊,Longan tincture (Euphoria longana)
留兰香油,Spearmint oil (Mentha spicata)
核桃壳提取物,Walnut hull extract (Juglans spp.)
素方花净油,Common white jasmine flower absolute (Jasminum officinale L.)
桦焦油,Birch sweet oil (Betula lenta L.)
蚕豆花酊,Broad bean flower tincture (Vicia faba Linn.)
绿茶酊,Green tea tincture(Thea sinensis or Camellia sinensis)
野玫瑰浸膏,Wild rose concrete (Rosa multiflora)
甜小茴香油,Fennel oil, sweet (Foeniculum vulgare Mill. var. dulce D.C.)
甜叶菊油,Stevia rebaudiana oil
甜橙油,Orange oil [Citrus sinensis (L.) Osbeck]
除萜甜橙油,Orange oil, terpeneless [Citrus sinensis (L.) Osbeck]
甜橙油萜烯,Terpenes of orange oil
菊苣浸膏,Chicory concrete (extract) (Cichorium intybus L.)
晚香玉浸膏,Tuberose concrete (Polianthes tuberosa)
紫罗兰叶浸膏,Violet leaf concrete (Viola odorata)
椒样薄荷油,Peppermint oil (Mentha piperita L.)
黑加仑酊,Black currant tincture (Ribes nigrum L.)
黑加仑浸膏,Black currant concrete (Ribes nigrum L.)
槐树花净油,Sophora japonica flower absolute
槐树花浸膏,Sophora japonica flower concrete
辣椒酊,Capsicum tincture (extract) (Capsicum spp.)
辣椒油树脂(又名灯笼辣椒油树脂),Paprika oleoresin (Capsicum annuum L.)
愈疮木油,Guaiac wood oil (Bulnesia sarmienti Lor.)
缬草油,Valerian root oil (Valeriana officinalis L.)
墨红花净油,Rose crimsonglory flower absolute
墨红花浸膏,Rose crimsonglory flower concrete
橙叶油,Petitgrain bigarade oil (Citrus aurantium L.)
亚洲薄荷油,Mentha arvensis oil (Cornmint oil)
亚洲薄荷素油,Mentha arvensis oil, partially dementholized
檀香油,Sandalwood oil (Santalum album L.)
薰衣草油,Lavender oil (Lavandula angustifolia)
头状百里香油(又名西班牙牛至油),Origanum oil (Thymus capitatus)
可乐果提取物,Kolas nut extract (Cola acuminate Schott et EndL.)
加州胡椒油,Schinus molle oil (Schinus molle L.)
卡黎皮油,Cascarilla bark oil (Croton spp.)
百里香油,Thyme oil (Thymus vulgaris or zigis L.)
奶油发酵起子蒸馏物(黄油蒸馏物),Butter starters distillate
卡南伽油,Cananga oil (Cananga odorata Hook. F. and Thoms)
月桂叶提起物/油树脂,Laurel leaves extract/oleoresin (Laurus nobilis L.)
生姜提取物(生姜浸膏),Ginger extract (Ginger concrete.) ( Zingiber officinale)
白栎木屑提取物,Oak chips extract (Quercus alba L.)
龙蒿油,Estragon oil (Artemisia dracunculus L.)
白樟油,Camphor oil, white (Cinnamomum camphora (L.) Presl)
肉豆蔻衣油,Mace oil (Myristica fragrans Houtt.)
众香叶油,Pimento leaf oil (Pimenta officinalis Lindl.)
西班牙鼠尾草油,Sage oil, Spanish (Salvia lavandulaefolia VahL.)
红桔油,Tangerine oil (Citrus reticulata Blanco)
杂薰衣草油,Lavandin oil (Lavandula hydrida)
杏仁油,Apricot Kernel oil (Prunus armeniaca L.)
苏合香油,Styrax oil (Liquidambar spp.)
苏合香提取物,Styrax extract (Liquidambar spp.)
长角豆油,Locust bean oil (Ceratonia siliqua L.)
角豆提取物,Carob bean extract (Ceratonia siliqua L.)
皂树皮提取物,Quillaia (Quillaja saponaria Molina)
乳香油,Olibanum oil (Boswellia spp.)
没药油,Myrrh oil (Commiphora spp.)
良姜根提取物,Galangal root extract (Alpinia spp.)
苏格兰松油,Pine oil, scotch (Pinus sylvestris L.)
小茴香油(又名普通小茴香油),Fennel oil, (common) (Foeniculum vulgare Mill)
苦杏仁油,Almond oil, bitter (Prunus amygdalus)
阿魏油,Asafoetida oil (Ferula asafoetida L.)
金合欢净油,Cassie absolute[Acacia farnesiana (L.) Willd.]
欧芹叶油,Parsley leaf oil (Petroselinum crispum)
松针油,Pine needle oil (Abies spp.)
波罗尼花净油,Boronia absolute (Boronia megastigma Nees)
玫瑰木油,Bois de rose oil (Aniba rosaeodora Ducke)
玫瑰草油,Palmarosa oil [Cymbopogon martini (Roxb.) Stapf]
香茅油,Citronella oil (Cymbopogon nardus Rendle)
迷迭香油,Rosemary oil (Rosemarinus officinalis L.)
香脂冷杉油,Balsam fir oil (Abies balsamea (L.) Mill.)
香脂冷杉油树脂,Balsam fir oleoresin[Abies balsamea (L.) Mill.]
胡萝卜籽油,Carrot seed oil (Daucus carota L.)
春黄菊花油(罗马),Chamomile flower oil (Roman) (Anthemis nobilis L.)
春黄菊花净油(提取物)(罗马),Chamomile flower absolute (extract) (Roman) (Anthemis nobilis L.)
药鼠李提取物,Cascara bitterless extract (Rhamnus purshiana DC.)
荜澄茄油,Cubeb oil (Piper cubeba L.f.)
胡薄荷油(又名唇萼薄荷油),Pennyroyal oil (Mentha pulegium L.)
欧当归油,Lovage oil (Levisticum officinale Koch.)
夏至草提取物,Horehound extract (Marrubium vulgare L.)
莫哈弗丝兰提取物,Yucca mohave extract (Yucca spp.)
海草(藻)提取物,Kelp (Laminaria and Kereocystis spp.)
